angle [deg]	counting rate [cps]
20.00	160.41
20.50	161.98
21.00	167.17
21.50	160.74
22.00	166.75
22.50	183.48
23.00	176.87
23.50	169.76
24.00	179.38
24.50	177.12
25.00	183.14
25.50	187.88
26.00	168.37
26.50	168.26
27.00	184.47
27.50	176.75
28.00	185.95
28.50	179.95
29.00	175.30
29.50	184.17
30.00	190.63
30.50	194.81
31.00	185.61
31.50	181.35
32.00	180.13
32.50	185.65
33.00	176.59
33.50	187.37
34.00	172.08
34.50	177.23
35.00	171.48
35.50	173.32
36.00	184.11
36.50	184.25
37.00	173.13
37.50	171.19
38.00	171.88
38.50	175.03
39.00	170.27
39.50	172.53
40.00	172.33
40.50	179.21
41.00	170.80
41.50	160.53
42.00	165.87
42.50	162.59
43.00	151.57
43.50	164.84
44.00	159.92
44.50	152.83
45.00	163.28
45.50	169.97
46.00	186.81
46.50	177.04
47.00	369.73
47.50	1267.10
48.00	1565.14
48.50	1274.08
49.00	1126.82
49.50	1134.73
50.00	1137.00
