angle [deg]	counting rate [cps]
20.00	55.73
20.50	55.67
21.00	57.24
21.50	50.69
22.00	52.14
22.50	51.89
23.00	50.97
23.50	49.52
24.00	46.00
24.50	52.66
25.00	53.59
25.50	49.06
26.00	45.66
26.50	52.35
27.00	54.14
27.50	45.96
28.00	50.53
28.50	44.41
29.00	49.95
29.50	46.44
30.00	56.35
30.50	240.35
31.00	262.24
31.50	152.73
32.00	84.54
32.50	58.80
33.00	62.79
33.50	148.65
34.00	544.98
34.50	1192.04
35.00	1258.76
35.50	1054.30
36.00	862.56
36.50	288.03
37.00	220.11
37.50	75.90
38.00	65.35
38.50	52.13
39.00	53.23
39.50	47.39
40.00	46.01
40.50	43.03
41.00	45.98
41.50	38.65
42.00	39.07
42.50	39.07
43.00	44.59
43.50	43.34
44.00	45.35
44.50	37.13
45.00	37.25
45.50	33.99
46.00	37.90
46.50	33.89
47.00	34.42
47.50	30.43
48.00	30.88
48.50	37.65
49.00	33.04
49.50	32.33
50.00	32.32
